,unique_locations,most_active_hour,weekend_activity,weekday_activity,amount_of_activity,room_transition_count,toilet,bathroom1,bedroom1,conservatory,dining_room,hallway,kitchen,living_room,lounge,study,average_consecutive_no_motion,longest_consecutive_no_motion,minimum_consecutive_no_motion,night,morning,afternoon,evening,distinct_days_with_activity,common,other,private,avg_peak_activity_window,multiple_occupancy
32,6,13,0,468,1450.55,266,0.0,17.366666666666667,549.6999999999999,0.0,0.0,102.26666666666667,183.55,0.0,468.5,129.16666666666666,3.099465811965812,366.0833333333333,0.016666666666666666,7,164,211,86,31,412.0,0.0,56.0,18.0,1
33,6,10,0,525,1428.85,317,0.0,22.45,520.0166666666667,0.0,0.0,84.38333333333334,169.0,0.0,456.71666666666664,176.28333333333333,2.7216190476190474,444.8,0.0,7,250,207,61,31,473.0,0.0,52.0,17.0,1
34,6,9,0,599,1454.4333333333334,362,0.0,36.05,550.15,0.0,0.0,177.2,180.61666666666667,0.0,350.31666666666666,160.1,2.4281023928770176,462.85,0.0,0,307,217,75,31,539.0,0.0,60.0,16.0,1
35,6,11,0,555,1427.3333333333333,341,0.0,34.93333333333333,522.2666666666667,0.0,0.0,108.18333333333334,203.08333333333334,0.0,435.56666666666666,123.3,2.571771771771772,250.23333333333332,0.0,6,299,201,49,31,487.0,0.0,68.0,20.0,1
36,6,14,453,0,1441.45,247,0.0,18.849999999999998,548.6833333333333,0.0,0.0,107.66666666666667,195.86666666666667,0.0,518.35,52.03333333333333,3.1820088300220752,471.1333333333333,0.0,0,164,227,62,31,408.0,0.0,45.0,16.0,1
37,6,17,367,0,1437.1166666666666,197,0.0,30.416666666666668,541.1999999999999,0.0,0.0,143.9,229.31666666666666,0.0,395.75,96.53333333333333,3.9158492279745682,420.0833333333333,0.03333333333333333,8,143,105,111,31,309.0,0.0,58.0,17.0,1
38,6,8,0,457,1443.0,261,0.0,33.78333333333333,537.0833333333334,0.0,0.0,80.28333333333333,157.38333333333333,0.0,538.1666666666666,96.3,3.1575492341356672,352.98333333333335,0.016666666666666666,7,241,138,71,31,401.0,0.0,56.0,18.0,1
39,6,17,0,522,1464.2166666666667,265,0.0,21.75,525.3833333333333,0.0,0.0,98.06666666666666,232.31666666666666,0.0,376.76666666666665,209.93333333333334,2.805012771392082,341.15,0.0,13,213,226,70,31,476.0,0.0,46.0,18.0,1
40,6,11,0,541,1435.7666666666667,339,0.0,27.21666666666667,545.05,0.0,0.0,125.21666666666667,178.56666666666666,0.0,461.48333333333335,98.23333333333333,2.653912507701787,459.01666666666665,0.0,0,269,199,73,31,499.0,0.0,42.0,16.0,1
41,6,8,0,479,1443.6333333333334,270,0.0,26.616666666666667,506.3333333333333,0.0,0.0,88.68333333333334,233.38333333333333,0.0,468.95,119.66666666666667,3.013848295059151,324.6166666666667,0.016666666666666666,21,210,156,92,31,421.0,0.0,58.0,18.0,1
42,6,11,0,579,1411.6,348,0.0,17.116666666666667,508.7166666666667,0.0,0.0,96.11666666666667,272.21666666666664,0.0,417.8,99.63333333333334,2.4379965457685664,345.06666666666666,0.0,7,266,223,83,31,523.0,0.0,56.0,18.0,1
43,6,15,343,0,1452.85,177,0.0,37.86666666666667,566.4,0.0,0.0,67.56666666666666,339.95,0.0,377.84999999999997,63.21666666666667,4.235714285714286,369.5,0.016666666666666666,6,92,160,85,31,286.0,0.0,57.0,18.0,1
44,6,16,481,0,1429.3166666666666,279,0.0,24.816666666666666,527.2666666666667,0.0,0.0,102.21666666666667,349.6333333333333,0.0,424.3833333333333,1.0,2.9715523215523216,441.05,0.0,6,133,222,120,31,431.0,0.0,50.0,17.0,1
45,6,11,0,626,1460.4666666666667,400,0.0,23.183333333333334,209.26666666666668,0.0,0.0,454.93333333333334,211.63333333333333,0.0,436.26666666666665,125.18333333333334,2.333013844515442,341.85,0.0,10,298,222,96,31,574.0,0.0,52.0,18.0,1
